Event_ID,Event_Name,Start_Date,End_Date,Year_Label,Category,Strength,Affected_Commodities,N_Commodities,Description
1,1986–87 early-era weather and policy volatility,1986-01-01,1987-12-31,1986-1987,Weather,probable,"Corn, Soybean, Soybean_Oil, Sugar, Lumber",5,Broad early-series weather and Food Security Act 1985 policy transition volatility; individual windows have loose attribution.
2,1988 North American drought,1988-05-01,1988-10-31,1988,Weather,strong,"Corn, Soybean, Wheat, Soybean_Oil, Sugar, Oats",6,Worst US drought since 1936. Corn crop down ~30%. Visible across all grains and soy complex.
3,Summer 1991 weather,1991-07-01,1991-08-31,1991,Weather,probable,"Corn, Soybean, Soybean_Oil",3,Summer 1991 US weather volatility.
4,1993 Mississippi floods,1993-06-01,1993-08-31,1993,Weather,strong,Soybean_Oil,1,Historic Mississippi River floods damaged Midwest crops.
5,1993–96 Spotted Owl / Clinton Forest Plan,1993-02-01,1996-11-30,1993-1996,Policy/Regulation,strong,Lumber,1,Endangered species ruling restricted Pacific Northwest federal logging; Clinton Forest Plan (1994). Massive supply shock for lumber.
6,1994 Brazil coffee double frost,1994-05-01,1994-12-31,1994,Weather,strong,Coffee,1,"Double frost of June 25 and July 9, 1994, destroyed ~30% of Brazil coffee crop. Prices doubled."
7,1994–95 South American crop volatility,1994-12-01,1995-07-31,1994-1995,Weather,probable,Soybean_Oil,1,1994-95 South American soy-complex volatility.
8,1995 coffee frost aftermath,1995-09-01,1995-09-30,1995,Weather,strong,Coffee,1,Tail end of 1994 frost-driven rally; reduced 1995 output.
9,1995–96 global wheat stocks crisis,1995-06-01,1996-05-31,1995-1996,Supply/Demand,strong,Wheat,1,World wheat ending stocks at record lows; post-Soviet export dynamics.
10,1996 tight corn stocks rally,1996-05-01,1996-09-30,1996,Supply/Demand,strong,Corn,1,"Corn ending stocks hit multi-decade lows, driving major price rally."
11,1997 Brazilian frost scare,1997-05-01,1997-07-31,1997,Weather,strong,Coffee,1,"Brazilian frost scare, June–July 1997."
12,1997–98 El Niño,1997-12-01,1998-02-28,1997-1998,Weather,probable,Coffee,1,El Niño 1997-98 drought concerns for Brazil and Central America coffee production.
13,1997 growing-season weather,1997-04-01,1997-09-30,1997,Weather,probable,"Corn, Soybean",2,US grain weather during 1997 planting and growing season; Mississippi Delta concerns.
14,Summer 1998 weather,1998-06-01,1998-07-31,1998,Weather,strong,Corn,1,Summer 1998 corn weather volatility.
15,1998 Asian Financial Crisis (lumber),1998-05-01,1998-06-30,1998,Financial/Macro,probable,Lumber,1,Asian Financial Crisis demand effects on lumber.
16,1999 Eastern Corn Belt drought,1999-07-01,1999-10-31,1999,Weather,probable,"Corn, Soybean",2,1999 Eastern US drought affecting corn and soybeans; also harvest-season volatility.
17,1999 Brazilian drought coffee rally,1999-10-01,1999-12-31,1999,Weather,strong,Coffee,1,Brazilian drought-driven coffee rally; prices peaked near 80-week high of $2.41.
18,1999 Brazilian real devaluation,1999-01-01,2000-04-30,1999-2000,Financial/Macro,strong,"Sugar, Soybean_Oil, Soybean",3,January 1999 Brazilian real devaluation crashed sugar price floor; Brazil is the world largest producer. Also affected soy complex via South American export competitiveness.
